matches,points,ranking,rating,team
23,"2,725",1,"
                            118
                            ",Pakistan
23,"2,714",2,118,Australia
36,"4,081",3,113,India
27,"2,806",4,104,New Zealand
24,"2,426",5,101,England
19,"1,910",6,101,South Africa
28,"2,661",7,95,Bangladesh
32,"2,794",8,87,Sri Lanka
19,"1,605",9,84,Afghanistan
38,"2,582",10,68,West Indies
30,"1,641",11,55,Zimbabwe
33,"1,662",12,50,Scotland
24,"1,052",13,44,Ireland
28,"1,044",14,37,Netherlands
40,"1,396",15,35,Nepal
28,813,16,29,Namibia
31,808,17,26,United States
24,525,18,22,Oman
41,617,19,15,UAE
